record_id,customer_id,age,gender,region,employment_status,annual_income,credit_score,loan_type,loan_amount,annual_interest_rate,loan_term_months,loan_status,open_date,last_payment_date,last_payment_amount,balance_remaining,currency,debt_to_income_ratio,risk_band
429,CUST100429,45,Other,Central,Unemployed,124897,688,Credit Card,30702,20.73,36,Closed,2025-07-08,2025-07-28,1130.93,29549.55,USD,0.1107,Medium
430,CUST100430,54,Female,South,Student,160475,796,Credit Card,29424,24.15,12,Active,2021-06-30,2021-08-15,2464.23,21070.63,USD,0.2082,Low
431,CUST100431,66,Female,West,Student,187066,789,Personal,19811,13.75,120,Active,2023-05-05,2025-08-19,262.69,0.0,USD,0.0195,Low
432,CUST100432,33,Female,West,Student,313509,787,Mortgage,523604,3.56,36,Active,2015-12-19,2017-01-26,15685.47,277898.39,USD,0.5878,Low
433,CUST100433,72,Male,West,Employed,49007,778,Student,100272,7.36,24,Active,2020-02-02,2020-06-24,3579.5,0.0,USD,1.1033,Low
434,CUST100434,25,Other,Central,Retired,152019,699,Credit Card,9013,22.05,180,Active,2019-05-01,2025-08-19,175.95,0.0,USD,0.0136,Medium
435,CUST100435,31,Male,North,Self-employed,132254,786,Personal,39632,6.67,180,Active,2023-06-26,2024-05-15,320.44,29861.35,USD,0.0317,Low
436,CUST100436,35,Male,East,Student,212801,804,Mortgage,1548466,6.21,60,Delinquent,2018-06-23,2020-08-18,24783.4,495399.21,USD,1.6967,Low
437,CUST100437,69,Other,North,Retired,143932,760,Student,71986,5.5,60,Active,2018-12-22,2019-03-14,1466.26,54110.79,USD,0.1146,Low
438,CUST100438,67,Other,West,Employed,163674,785,Student,92221,7.59,24,Active,2024-11-18,2025-01-23,3748.84,71452.59,USD,0.3045,Low
439,CUST100439,70,Other,East,Student,34339,775,Auto,68117,5.77,36,Active,2015-09-03,2016-03-25,1964.62,16488.0,USD,0.7217,Low
440,CUST100440,28,Male,Central,Self-employed,331435,792,Personal,30588,11.74,36,Closed,2018-07-24,2019-05-23,1043.25,19454.18,USD,0.0366,Low
441,CUST100441,30,Male,West,Unemployed,115362,682,Credit Card,15711,12.27,12,Default,2021-11-25,2022-03-22,1485.59,1732.11,USD,0.1454,Medium
442,CUST100442,30,Female,South,Employed,230257,730,Auto,21673,6.35,36,Active,2021-12-31,2022-01-03,654.45,17033.56,USD,0.0345,Medium
443,CUST100443,47,Other,West,Employed,137694,727,Personal,19871,14.96,240,Default,2017-02-05,2019-06-01,245.42,0.0,USD,0.0228,Medium
444,CUST100444,36,Other,South,Student,114565,688,Personal,18157,8.83,360,Active,2018-06-04,2025-08-19,140.1,0.0,USD,0.0151,Medium
445,CUST100445,26,Female,West,Self-employed,221062,781,Personal,5787,7.14,12,Active,2016-03-22,2016-05-21,445.17,3281.48,USD,0.0272,Low
446,CUST100446,60,Other,North,Employed,152989,700,Student,102229,4.66,12,Active,2022-02-23,2022-03-11,6708.51,84757.71,USD,0.6852,Medium
447,CUST100447,47,Male,North,Unemployed,298094,690,Personal,3894,17.74,360,Active,2025-05-31,2025-08-19,61.94,0.0,USD,0.0023,Medium
448,CUST100448,57,Female,Central,Unemployed,248471,759,Student,44653,6.78,360,Active,2016-03-26,2017-11-24,209.7,16764.09,USD,0.014,Low
449,CUST100449,28,Other,West,Student,80830,626,Credit Card,32798,17.95,24,Active,2025-02-14,2025-07-15,1226.58,0.0,USD,0.243,High
450,CUST100450,29,Male,Central,Unemployed,315303,797,Credit Card,1270,18.84,36,Active,2020-04-22,2020-05-23,46.79,1084.2,USD,0.0018,Low
451,CUST100451,19,Female,North,Student,215852,850,Personal,11077,6.35,360,Delinquent,2024-12-14,2025-08-19,60.77,0.0,USD,0.0038,Low
452,CUST100452,18,Female,North,Retired,257555,632,Credit Card,9475,14.75,12,Active,2024-08-17,2025-01-08,708.26,934.2,USD,0.0398,High
453,CUST100453,78,Other,West,Employed,229116,666,Student,28380,4.1,60,Closed,2017-06-19,2018-08-05,426.48,15805.38,USD,0.0274,Medium
454,CUST100454,59,Male,North,Unemployed,277344,817,Personal,45889,13.24,180,Active,2023-02-06,2024-02-17,532.06,31780.06,USD,0.0254,Low
455,CUST100455,48,Female,Central,Retired,241810,626,Personal,41230,8.24,240,Active,2016-09-05,2017-05-25,293.72,37719.52,USD,0.0174,High
456,CUST100456,61,Other,South,Student,296445,728,Personal,31685,11.25,360,Active,2019-01-03,2020-06-09,299.66,8296.44,USD,0.0125,Medium
457,CUST100457,45,Female,Central,Employed,308879,629,Mortgage,1074455,5.31,120,Active,2019-08-16,2021-04-06,8469.93,704542.54,USD,0.4491,High
458,CUST100458,60,Female,South,Self-employed,226022,619,Personal,21574,13.05,360,Active,2024-02-18,2025-08-19,227.41,0.0,USD,0.0127,High
459,CUST100459,73,Male,South,Self-employed,61010,764,Mortgage,1009742,4.87,12,Active,2020-01-25,2020-01-25,66400.82,923360.67,USD,16.9903,Low
460,CUST100460,73,Other,Central,Student,178754,656,Student,84339,4.44,36,Active,2015-10-17,2015-12-13,2572.71,54260.22,USD,0.1683,Medium
461,CUST100461,19,Male,West,Self-employed,146762,682,Credit Card,13511,13.12,360,Active,2017-04-19,2025-08-19,106.82,0.0,USD,0.0123,Medium
462,CUST100462,62,Female,West,Student,30290,789,Auto,48644,4.99,240,Closed,2016-03-17,2016-04-18,237.7,21379.38,USD,0.1271,Low
463,CUST100463,45,Female,West,Retired,332391,620,Credit Card,39734,21.42,360,Active,2018-03-28,2019-09-19,502.73,17709.46,USD,0.0256,High
464,CUST100464,35,Other,West,Student,81310,691,Personal,30381,14.37,12,Active,2017-06-12,2017-09-12,2123.3,19448.54,USD,0.4034,Medium
465,CUST100465,32,Other,East,Retired,265611,646,Student,114277,8.17,180,Active,2024-07-25,2025-08-19,1200.84,0.0,USD,0.0498,High
466,CUST100466,62,Other,North,Student,87683,660,Student,31451,7.97,360,Default,2019-01-16,2021-05-22,212.34,3836.73,USD,0.0315,Medium
467,CUST100467,40,Female,East,Self-employed,111600,681,Mortgage,1278560,3.78,120,Closed,2019-06-15,2023-06-09,12910.82,0.0,USD,1.3776,Medium
468,CUST100468,53,Female,South,Retired,336821,759,Student,124835,8.81,24,Active,2016-10-28,2017-02-09,5859.78,16683.61,USD,0.2028,Low
469,CUST100469,58,Male,South,Unemployed,102330,780,Credit Card,33662,21.52,24,Active,2017-05-14,2018-05-21,1449.51,0.0,USD,0.2039,Low
470,CUST100470,46,Female,North,Self-employed,268336,667,Mortgage,657875,4.3,240,Closed,2019-09-07,2025-03-09,3112.07,0.0,USD,0.183,Medium
471,CUST100471,44,Male,South,Student,236745,796,Personal,2950,11.31,12,Active,2023-09-08,2024-05-29,281.38,0.0,USD,0.0132,Low
472,CUST100472,80,Male,West,Employed,226184,778,Auto,17577,6.42,120,Closed,2020-05-04,2024-02-27,194.95,7434.7,USD,0.0106,Low
473,CUST100473,64,Other,East,Unemployed,24143,713,Student,121965,7.22,360,Closed,2023-06-17,2025-08-19,837.96,0.0,USD,0.4123,Medium
474,CUST100474,23,Male,Central,Unemployed,224468,789,Auto,78219,6.47,120,Active,2018-01-13,2018-10-01,816.64,68462.36,USD,0.0474,Low
475,CUST100475,28,Male,North,Retired,330642,551,Personal,48612,11.07,24,Active,2023-11-06,2023-12-02,1925.36,46344.72,USD,0.0823,High
476,CUST100476,21,Other,North,Student,176217,707,Personal,16472,15.66,60,Closed,2019-07-26,2020-05-12,384.38,8917.65,USD,0.0271,Medium
477,CUST100477,54,Other,South,Student,292454,727,Credit Card,39166,14.5,180,Closed,2020-09-24,2021-02-21,526.61,25795.7,USD,0.0219,Medium
478,CUST100478,23,Male,North,Student,88190,695,Personal,45356,12.32,240,Active,2025-06-01,2025-08-19,458.37,11215.22,USD,0.0693,Medium
479,CUST100479,77,Female,West,Self-employed,95678,701,Student,38917,8.84,24,Active,2023-06-05,2023-09-29,1578.63,28266.65,USD,0.2226,Medium
480,CUST100480,41,Male,Central,Student,77847,608,Mortgage,1196343,3.54,180,Active,2019-01-21,2022-06-16,7011.65,381626.19,USD,1.322,High
481,CUST100481,68,Other,West,Employed,179993,751,Student,5546,4.61,180,Active,2016-05-24,2016-12-23,38.14,5075.87,USD,0.0028,Low
482,CUST100482,39,Female,West,Retired,89630,754,Student,122946,7.34,36,Active,2025-05-09,2025-08-08,3891.38,46638.86,USD,0.5108,Low
483,CUST100483,32,Female,East,Retired,44022,768,Auto,13251,5.0,120,Active,2021-12-06,2023-04-27,134.58,1726.11,USD,0.0383,Low
484,CUST100484,52,Other,North,Retired,293549,639,Mortgage,352252,5.3,36,Closed,2015-11-07,2016-12-13,8296.38,171970.06,USD,0.4335,High
485,CUST100485,71,Other,West,Employed,299730,718,Mortgage,1130693,6.02,12,Closed,2019-06-14,2019-07-30,84281.07,546742.38,USD,3.8965,Medium
486,CUST100486,38,Female,East,Employed,80106,672,Mortgage,423438,4.07,240,Active,2023-04-01,2023-07-30,2441.65,312429.35,USD,0.3867,Medium
487,CUST100487,21,Female,West,Employed,187793,633,Auto,74615,4.78,240,Active,2016-12-05,2017-04-08,399.94,41743.59,USD,0.0309,High
488,CUST100488,19,Female,South,Employed,161117,713,Mortgage,616562,5.67,36,Closed,2019-01-20,2021-05-02,16395.17,0.0,USD,1.3902,Medium
489,CUST100489,50,Male,South,Unemployed,303346,706,Credit Card,30605,12.54,360,Active,2024-12-09,2025-08-19,314.88,0.0,USD,0.013,Medium
490,CUST100490,76,Female,East,Retired,151538,756,Personal,42432,8.55,120,Active,2016-02-24,2017-08-23,487.81,31887.37,USD,0.0418,Low
491,CUST100491,25,Male,Central,Unemployed,246472,639,Personal,45702,17.34,120,Active,2024-01-30,2025-08-19,650.73,0.0,USD,0.0392,High
492,CUST100492,31,Female,Central,Unemployed,28322,811,Mortgage,1990467,3.03,36,Active,2020-04-09,2023-01-05,58200.26,0.0,USD,24.537,Low
493,CUST100493,59,Other,North,Retired,36225,693,Student,98838,5.93,12,Active,2017-01-14,2017-04-18,9136.95,39313.82,USD,2.8169,Medium
494,CUST100494,19,Female,East,Self-employed,67168,786,Auto,40704,6.43,180,Active,2016-01-19,2021-07-29,374.83,15640.21,USD,0.0631,Low
495,CUST100495,30,Other,West,Employed,165409,714,Credit Card,13698,20.58,36,Active,2016-05-15,2016-11-21,372.54,9593.01,USD,0.0372,Medium
496,CUST100496,32,Other,East,Self-employed,32120,704,Credit Card,30748,12.03,240,Active,2022-10-29,2023-12-27,353.3,0.0,USD,0.1267,Medium
497,CUST100497,44,Female,North,Retired,264625,699,Mortgage,1953468,5.52,12,Active,2018-10-03,2019-02-16,147497.29,947283.94,USD,7.6046,Medium
498,CUST100498,23,Other,North,Self-employed,242203,653,Mortgage,1412806,5.19,12,Active,2021-01-07,2021-01-13,113443.9,686387.13,USD,5.9984,Medium
499,CUST100499,34,Male,North,Student,144968,768,Auto,19556,5.72,360,Active,2024-03-16,2025-08-19,99.94,14095.95,USD,0.0094,Low
500,CUST100500,76,Male,West,Unemployed,54093,720,Mortgage,1520955,3.2,12,Closed,2018-12-11,2019-03-23,95210.81,747231.53,USD,28.6072,Medium
501,CUST100501,32,Other,Central,Employed,257718,641,Credit Card,41581,13.32,12,Active,2020-09-23,2020-12-16,3478.8,11819.82,USD,0.1732,High
502,CUST100502,63,Male,Central,Self-employed,320528,621,Personal,28591,11.78,360,Active,2017-09-21,2019-04-07,294.7,0.0,USD,0.0108,High
503,CUST100503,45,Other,East,Unemployed,326009,647,Personal,20075,10.43,12,Active,2021-06-11,2021-08-24,1278.81,4154.64,USD,0.0651,High
504,CUST100504,72,Male,West,Unemployed,122449,639,Student,91807,8.26,180,Active,2022-07-19,2025-08-19,740.98,24076.49,USD,0.0873,High
505,CUST100505,76,Male,West,Self-employed,21938,746,Student,60872,5.2,180,Closed,2024-09-09,2025-08-19,419.52,14049.19,USD,0.2668,Medium
506,CUST100506,18,Female,North,Employed,207635,673,Credit Card,24587,12.57,12,Closed,2017-11-14,2017-12-20,1686.39,18013.74,USD,0.1266,Medium
507,CUST100507,64,Male,East,Retired,148956,641,Mortgage,809641,6.28,120,Active,2020-10-02,2021-10-15,9319.55,536552.8,USD,0.7333,High
508,CUST100508,80,Other,West,Employed,82124,737,Student,103108,5.59,240,Active,2022-10-09,2023-01-11,718.26,58807.87,USD,0.1044,Medium
509,CUST100509,36,Male,East,Self-employed,47923,718,Auto,76619,6.39,360,Active,2017-12-26,2020-08-15,486.61,56990.05,USD,0.1199,Medium
510,CUST100510,42,Other,Central,Unemployed,281403,702,Personal,35437,14.33,360,Closed,2020-12-13,2025-08-19,409.95,0.0,USD,0.0183,Medium
511,CUST100511,59,Male,South,Self-employed,126430,693,Auto,50107,4.49,240,Active,2022-01-17,2024-02-22,253.96,37437.75,USD,0.0301,Medium
512,CUST100512,36,Female,Central,Unemployed,140679,716,Credit Card,23044,17.54,360,Active,2020-06-27,2025-08-19,346.03,0.0,USD,0.0289,Medium
513,CUST100513,29,Female,South,Unemployed,59787,684,Credit Card,34606,19.11,24,Active,2024-06-13,2025-02-05,1381.48,20635.67,USD,0.3505,Medium
514,CUST100514,52,Male,East,Self-employed,192617,599,Personal,13493,14.47,36,Closed,2025-03-24,2025-08-19,373.46,0.0,USD,0.0289,High
515,CUST100515,36,Female,West,Student,324062,598,Auto,72185,3.82,360,Active,2023-09-28,2025-08-19,342.83,0.0,USD,0.0125,High
516,CUST100516,67,Other,West,Self-employed,249995,688,Personal,10106,12.93,36,Closed,2019-01-24,2019-01-25,348.39,10106.0,USD,0.0163,Medium
517,CUST100517,39,Male,West,Student,231481,787,Personal,22369,13.04,12,Active,2017-03-13,2017-05-12,2193.6,18372.28,USD,0.1036,Low
518,CUST100518,76,Other,Central,Student,219920,650,Credit Card,26325,14.45,24,Active,2019-04-29,2020-08-03,1213.18,3473.23,USD,0.0693,Medium
519,CUST100519,61,Other,South,Employed,336336,698,Mortgage,909278,3.99,60,Active,2018-11-26,2021-11-03,12187.77,206129.32,USD,0.5973,Medium
520,CUST100520,28,Female,West,Student,102331,667,Student,59127,4.65,60,Active,2019-02-10,2021-02-05,1068.64,29255.73,USD,0.1297,Medium
521,CUST100521,37,Other,South,Retired,260625,646,Credit Card,22554,23.83,360,Active,2020-10-18,2025-08-19,320.79,0.0,USD,0.0206,High
522,CUST100522,76,Female,East,Unemployed,225043,761,Auto,64401,3.87,240,Active,2020-10-09,2025-08-19,298.42,26586.72,USD,0.0206,Low
523,CUST100523,78,Male,South,Self-employed,163537,785,Mortgage,1563904,5.54,60,Default,2021-03-04,2023-04-23,27542.94,786471.07,USD,2.1941,Low
524,CUST100524,22,Male,Central,Unemployed,235008,693,Credit Card,3925,18.01,24,Active,2022-10-20,2024-02-04,167.06,0.0,USD,0.01,Medium
525,CUST100525,43,Male,North,Unemployed,80126,724,Student,132076,6.31,24,Active,2021-10-15,2022-06-20,5786.61,8760.74,USD,0.8794,Medium
526,CUST100526,35,Male,South,Employed,338236,641,Credit Card,49591,17.08,24,Active,2023-03-03,2023-03-14,2382.52,0.0,USD,0.0871,High
527,CUST100527,31,Other,North,Retired,133333,693,Credit Card,43009,20.61,24,Active,2020-01-07,2020-11-17,1932.3,0.0,USD,0.1982,Medium
528,CUST100528,42,Male,South,Unemployed,145063,803,Mortgage,562564,6.36,24,Active,2024-07-29,2025-01-16,24764.4,37048.75,USD,2.0701,Low
529,CUST100529,70,Female,East,Retired,348616,659,Credit Card,26890,24.21,24,Active,2018-03-30,2018-04-26,1200.35,18342.86,USD,0.049,Medium
530,CUST100530,38,Male,West,Self-employed,260530,615,Personal,43594,13.49,12,Active,2016-05-23,2016-07-14,3203.45,31882.82,USD,0.1798,High
531,CUST100531,24,Other,Central,Retired,109893,671,Personal,42344,14.36,36,Active,2019-05-13,2020-04-02,1461.45,26343.04,USD,0.1588,Medium
532,CUST100532,60,Female,North,Unemployed,29253,726,Student,138962,7.2,60,Active,2021-04-14,2021-05-11,2192.56,36666.41,USD,1.1341,Medium
533,CUST100533,37,Male,West,Self-employed,344935,699,Student,58578,7.21,60,Active,2023-10-09,2025-08-19,1160.72,14280.37,USD,0.0406,Medium
534,CUST100534,59,Male,Central,Student,171233,733,Personal,23461,8.91,12,Active,2023-02-04,2023-05-02,2006.65,17308.84,USD,0.1437,Medium
535,CUST100535,51,Female,South,Student,23168,611,Auto,16829,5.22,36,Active,2017-12-05,2017-12-28,389.39,12780.65,USD,0.2621,High
536,CUST100536,31,Male,Central,Employed,243472,733,Auto,42102,4.48,60,Active,2019-01-14,2020-04-17,852.85,27980.54,USD,0.0387,Medium
537,CUST100537,48,Male,East,Student,218032,638,Credit Card,40937,21.55,36,Active,2024-10-30,2024-11-19,1561.3,0.0,USD,0.0855,High
538,CUST100538,76,Female,Central,Retired,100110,706,Student,126543,5.53,120,Active,2019-11-05,2025-03-27,1002.22,28903.38,USD,0.1648,Medium
539,CUST100539,27,Male,North,Employed,282510,737,Student,114004,8.7,180,Active,2019-12-12,2023-05-25,1086.54,0.0,USD,0.0483,Medium
540,CUST100540,20,Male,West,Retired,105124,644,Personal,48333,10.18,360,Active,2022-10-04,2025-08-19,421.38,0.0,USD,0.0492,High
541,CUST100541,65,Male,South,Student,38091,767,Mortgage,1562703,5.33,36,Active,2018-07-27,2020-06-23,35721.73,197745.61,USD,14.8279,Low
542,CUST100542,60,Male,North,Employed,68394,850,Student,26062,6.59,60,Active,2025-06-18,2025-08-19,527.33,12264.13,USD,0.0897,Low
543,CUST100543,79,Other,West,Retired,181469,797,Mortgage,329164,5.23,180,Delinquent,2024-10-08,2025-08-19,2641.27,234029.83,USD,0.1747,Low
544,CUST100544,37,Male,South,Student,20827,685,Personal,49040,11.17,36,Active,2019-11-03,2020-01-10,1254.1,31335.97,USD,0.9273,Medium
545,CUST100545,46,Other,South,Self-employed,125350,736,Student,120534,7.13,24,Active,2025-05-17,2025-08-19,3955.12,12459.51,USD,0.5173,Medium
546,CUST100546,22,Female,North,Retired,143092,693,Mortgage,119936,3.21,12,Active,2023-02-06,2023-02-27,7512.44,28412.3,USD,0.8528,Medium
547,CUST100547,56,Other,East,Student,268109,766,Personal,25299,14.18,180,Active,2019-03-05,2021-03-13,328.43,4560.08,USD,0.0152,Low
548,CUST100548,40,Female,North,Employed,259557,763,Auto,13365,5.11,120,Active,2023-06-25,2025-08-19,120.73,0.0,USD,0.0066,Low
549,CUST100549,48,Other,West,Self-employed,21640,684,Personal,45428,11.33,360,Delinquent,2020-02-16,2023-10-11,372.65,0.0,USD,0.2462,Medium
550,CUST100550,48,Other,North,Student,174068,738,Credit Card,38479,22.2,12,Closed,2017-01-26,2017-08-17,2649.17,13243.14,USD,0.2485,Medium
551,CUST100551,53,Female,South,Student,80648,696,Auto,37740,3.6,24,Delinquent,2016-10-27,2017-10-28,1161.58,16522.1,USD,0.2429,Medium
552,CUST100552,42,Female,South,Unemployed,269719,727,Personal,15667,17.18,24,Active,2022-11-10,2023-05-22,825.68,7907.32,USD,0.0345,Medium
553,CUST100553,59,Other,Central,Student,142351,667,Mortgage,333586,3.31,60,Active,2023-12-27,2024-08-20,5612.14,0.0,USD,0.5092,Medium
554,CUST100554,42,Other,North,Unemployed,52445,711,Student,116070,5.6,180,Active,2024-07-31,2025-08-19,866.64,0.0,USD,0.2184,Medium
555,CUST100555,43,Male,Central,Student,185636,769,Student,43646,7.01,36,Active,2024-01-06,2024-02-13,1116.1,40950.28,USD,0.0871,Low
556,CUST100556,35,Other,Central,Student,133091,698,Student,20417,8.91,180,Active,2017-05-08,2021-06-16,221.19,9499.47,USD,0.0186,Medium
557,CUST100557,77,Male,West,Student,176815,707,Student,96306,7.79,240,Active,2016-06-11,2024-08-04,644.88,0.0,USD,0.0538,Medium
558,CUST100558,72,Other,West,Employed,88629,612,Mortgage,1882180,6.27,120,Active,2020-10-08,2022-08-09,19689.77,126549.97,USD,2.8639,High
559,CUST100559,75,Male,South,Self-employed,122579,754,Auto,59355,6.33,240,Active,2023-04-05,2025-08-19,467.35,0.0,USD,0.0427,Low
560,CUST100560,29,Male,North,Retired,197464,721,Mortgage,349146,3.84,360,Active,2019-01-12,2025-08-19,1768.6,0.0,USD,0.0993,Medium
561,CUST100561,62,Other,North,Student,220330,633,Personal,1760,7.44,24,Active,2017-01-02,2017-11-26,76.58,572.73,USD,0.0043,High
562,CUST100562,54,Other,West,Unemployed,69573,736,Student,118680,5.49,36,Closed,2016-10-02,2016-12-06,3531.19,47017.71,USD,0.618,Medium
563,CUST100563,52,Male,West,Employed,226462,712,Credit Card,33018,12.83,24,Closed,2024-02-02,2024-09-01,1702.3,0.0,USD,0.083,Medium
564,CUST100564,29,Other,South,Employed,310833,692,Mortgage,370146,5.01,36,Active,2016-08-15,2018-01-22,11545.52,0.0,USD,0.4283,Medium
565,CUST100565,50,Female,East,Retired,109969,555,Mortgage,620800,4.05,120,Active,2023-01-11,2025-07-10,4762.48,192395.87,USD,0.6875,High
566,CUST100566,76,Female,Central,Retired,287696,666,Mortgage,597235,3.13,36,Active,2018-12-31,2019-03-09,16373.33,371001.8,USD,0.7259,Medium
567,CUST100567,26,Other,Central,Student,58985,706,Auto,62436,4.6,120,Active,2023-03-24,2025-08-19,492.31,27331.1,USD,0.1323,Medium
568,CUST100568,35,Other,South,Unemployed,315510,790,Credit Card,11750,17.46,36,Active,2019-03-09,2020-03-31,299.5,366.41,USD,0.016,Low
569,CUST100569,25,Other,North,Retired,233270,678,Personal,10589,16.43,60,Delinquent,2018-09-15,2018-09-15,221.16,10589.0,USD,0.0134,Medium
570,CUST100570,24,Male,South,Retired,180720,747,Mortgage,1209309,4.22,120,Active,2021-10-28,2023-07-12,9149.55,788711.82,USD,0.8214,Medium
571,CUST100571,66,Female,South,Unemployed,298754,745,Student,130006,6.96,120,Active,2015-09-29,2021-07-02,1484.63,0.0,USD,0.0605,Medium
572,CUST100572,54,Other,East,Employed,214065,728,Credit Card,28410,21.19,36,Active,2020-07-23,2021-11-14,966.77,4801.31,USD,0.0602,Medium
573,CUST100573,78,Other,South,Unemployed,65582,777,Personal,6907,13.62,24,Active,2023-10-28,2023-11-20,253.09,4594.3,USD,0.0605,Low
574,CUST100574,53,Female,North,Student,286696,699,Credit Card,46736,13.62,12,Active,2022-07-20,2022-07-20,4127.9,34172.18,USD,0.1753,Medium
575,CUST100575,33,Other,Central,Retired,42206,850,Credit Card,15750,14.27,180,Active,2025-01-19,2025-08-19,178.88,8521.12,USD,0.0605,Low
576,CUST100576,28,Female,North,Unemployed,150948,751,Student,81951,5.32,12,Delinquent,2023-11-30,2024-09-16,6025.84,11674.58,USD,0.5587,Low
577,CUST100577,79,Other,Central,Employed,262775,694,Mortgage,110809,4.22,36,Active,2020-02-23,2020-03-03,2430.72,38596.67,USD,0.1499,Medium
578,CUST100578,50,Male,West,Employed,275544,651,Personal,20613,10.37,36,Active,2021-08-27,2021-10-21,732.74,9244.93,USD,0.0291,Medium
579,CUST100579,26,Female,West,Employed,208343,643,Auto,61713,4.47,180,Delinquent,2015-12-29,2017-02-08,508.54,42395.66,USD,0.0271,High
580,CUST100580,25,Female,West,Retired,279820,808,Personal,27206,12.02,240,Active,2017-02-10,2017-05-31,305.07,18807.65,USD,0.0129,Low
581,CUST100581,18,Other,South,Employed,199380,682,Mortgage,1010852,4.68,120,Active,2021-02-01,2021-09-08,8441.87,905209.6,USD,0.6358,Medium
582,CUST100582,33,Female,North,Unemployed,149684,729,Student,32017,7.51,36,Active,2017-10-02,2018-01-27,745.25,23052.33,USD,0.0799,Medium
583,CUST100583,30,Male,West,Employed,343206,674,Auto,39068,4.18,360,Active,2016-04-29,2025-08-19,182.5,0.0,USD,0.0067,Medium
584,CUST100584,35,Female,West,Self-employed,187688,749,Mortgage,209325,5.31,180,Active,2018-01-06,2023-04-23,1371.84,86004.04,USD,0.108,Medium
585,CUST100585,34,Female,East,Unemployed,179570,579,Credit Card,9539,16.31,180,Active,2023-12-21,2025-08-19,133.9,0.0,USD,0.0095,High
586,CUST100586,55,Female,North,Employed,88411,733,Mortgage,1330108,6.39,60,Active,2017-10-20,2020-04-19,27778.77,162060.42,USD,3.5231,Medium
587,CUST100587,39,Female,West,Self-employed,299737,723,Auto,64815,4.93,120,Closed,2025-06-22,2025-08-19,746.96,0.0,USD,0.0274,Medium
588,CUST100588,46,Other,North,Student,55498,696,Credit Card,2433,14.17,120,Active,2023-06-14,2023-11-09,27.31,1824.59,USD,0.0082,Medium
589,CUST100589,62,Male,West,Student,299167,561,Student,107300,6.0,120,Active,2017-12-16,2017-12-19,910.12,79901.25,USD,0.0478,High
590,CUST100590,74,Other,West,Retired,295289,671,Mortgage,458841,3.78,60,Closed,2018-11-29,2019-01-08,6381.38,442031.44,USD,0.3416,Medium
591,CUST100591,77,Male,East,Employed,150551,587,Credit Card,25190,16.22,120,Active,2023-09-26,2024-04-22,450.67,17957.76,USD,0.0339,High
592,CUST100592,58,Male,East,Self-employed,166638,850,Credit Card,7975,21.39,240,Active,2022-12-21,2025-08-19,137.09,0.0,USD,0.0104,Low
593,CUST100593,46,Male,East,Unemployed,126912,743,Student,45800,6.23,240,Active,2019-10-09,2022-06-16,246.49,33433.44,USD,0.0316,Medium
594,CUST100594,73,Male,South,Retired,277172,667,Auto,61668,5.41,60,Active,2016-06-01,2016-07-07,1023.23,51089.67,USD,0.0509,Medium
595,CUST100595,43,Male,Central,Self-employed,26180,717,Mortgage,330761,5.89,12,Delinquent,2017-02-13,2017-02-23,22961.49,245408.91,USD,13.0408,Medium
596,CUST100596,68,Male,North,Retired,197413,661,Auto,17323,4.9,120,Active,2022-09-04,2024-01-21,129.58,4703.47,USD,0.0111,Medium
597,CUST100597,24,Other,West,Self-employed,20634,691,Personal,15803,17.06,240,Active,2023-05-04,2025-08-19,239.29,0.0,USD,0.1352,Medium
598,CUST100598,25,Male,North,Unemployed,207332,634,Personal,6557,16.75,36,Active,2017-08-20,2019-02-14,194.27,267.08,USD,0.0135,High
599,CUST100599,75,Other,East,Retired,170473,682,Student,101760,8.66,24,Active,2024-06-26,2024-06-26,4684.51,101760.0,USD,0.3261,Medium
600,CUST100600,46,Other,West,Employed,79330,850,Personal,10480,7.09,36,Active,2017-09-04,2018-08-31,268.2,2703.44,USD,0.049,Low
601,CUST100601,44,Other,East,Self-employed,148926,673,Credit Card,35981,18.4,60,Active,2019-12-14,2020-05-10,908.6,31373.36,USD,0.0743,Medium
602,CUST100602,69,Other,South,Employed,143308,682,Mortgage,860004,4.95,36,Closed,2016-11-15,2016-12-29,21746.73,782736.63,USD,2.1567,Medium
603,CUST100603,67,Male,East,Student,95570,776,Student,68569,5.05,60,Active,2016-04-06,2017-01-13,967.64,7678.01,USD,0.1627,Low
604,CUST100604,64,Male,West,Unemployed,48355,761,Mortgage,1099977,5.93,36,Active,2015-12-23,2016-06-27,25289.07,799120.01,USD,8.2958,Low
605,CUST100605,71,Female,South,Self-employed,266292,799,Personal,31814,10.94,180,Active,2020-08-13,2020-11-29,293.62,0.0,USD,0.0162,Low
606,CUST100606,20,Other,South,Retired,104068,849,Credit Card,47622,22.78,120,Active,2023-08-05,2024-10-11,1083.03,18339.38,USD,0.1164,Low
607,CUST100607,42,Male,South,Student,344557,624,Credit Card,40654,22.94,360,Active,2020-12-28,2025-08-19,802.06,0.0,USD,0.0271,High
608,CUST100608,59,Female,South,Unemployed,76833,636,Personal,2838,8.87,36,Active,2021-09-17,2021-10-03,70.69,2297.54,USD,0.0141,High
609,CUST100609,30,Other,South,Employed,146004,715,Student,16974,4.24,24,Delinquent,2019-02-06,2019-02-07,739.41,16974.0,USD,0.0607,Medium
610,CUST100610,38,Female,East,Self-employed,71055,532,Credit Card,7619,18.53,36,Closed,2015-11-27,2017-03-29,259.31,959.6,USD,0.0469,High
